"";"*ID_Abedin201165_1999_";"*ID_Abera1999631_1985_";"*ID_Abera1999631_1999_";"*ID_Abera2000487_1997_";"*ID_Abera2000487_1999_";"*ID_Adheka2018126_1985_";"*ID_Adheka2018126_1997_";"*ID_Aggangan2012153_1982_";"*ID_Aggangan2012153_1985_";"*ID_Akello2008157_1999_";"*ID_Akpabio2012167_1985_";"*ID_Akpabio2012167_1997_";"*ID_Altinkaya2016487_1999_";"*ID_Alvarez200117_1992_";"*ID_Alvarez200117_1993_";"*ID_Alvarez200117_1997_";"*ID_Amorim2009154_1999_";"*ID_Araya1998201_1985_";"*ID_Araya1998201_1997_";"*ID_Araya1998437_1985_";"*ID_Araya1998437_1997_";"*ID_Araya1999711_1999_";"*ID_Araya20011679_1982_";"*ID_Araya20011679_1985_";"*ID_Araya20011679_1997_";"*ID_Araya2004137_1985_";"*ID_Araya2004137_1992_";"*ID_Araya2005667_1982_";"*ID_Araya2005667_1985_";"*ID_Araya2005667_1992_";"*ID_Araya2005667_1993_";"*ID_Araya2005667_1997_";"*ID_Araya2005667_1999_";"*ID_Arunachalam2022111_1985_";"*ID_Arunachalam2022111_1993_";"*ID_Arunachalam2022111_1997_";"*ID_Badanayak2023_2015_";"*ID_Bakry20093_1985_";"*ID_Bakry20093_1992_";"*ID_Bakry20093_1993_";"*ID_Bakry20093_1997_";"*ID_Banful2000189_1985_";"*ID_Barahapurkar20202010_2015_";"*ID_Barbosa20131271_1999_";"*ID_Basak2015247_2015_";"*ID_Basak20152767_2015_";"*ID_Basak2015372_2015_";"*ID_Basak20161003_2015_";"*ID_Basak2016135_2015_";"*ID_Basak201691_2015_";"*ID_Basak201836_2015_";"*ID_Basak2018523_2015_";"*ID_Basak201855_2015_";"*ID_BasetMia20095855_1982_";"*ID_BasetMia20095855_1997_";"*ID_Bermúdez-Caraballoso2010105_1985_";"*ID_Bermúdez-Caraballoso2010105_1997_";"*ID_Bhanusree2015785_1997_";"*ID_Blomme2017_1992_";"*ID_Blomme2017_1993_";"*ID_Blomme2017_1999_";"*ID_Bosha202166_1985_";"*ID_Bosha202166_1997_";"*ID_Braimah1999485_1992_";"*ID_Braimah1999485_1993_";"*ID_Braimah1999485_1999_";"*ID_Brisibe2019_1985_";"*ID_Brisibe2019_1997_";"*ID_Brisibe20201973_1985_";"*ID_Brisibe20201973_1997_";"*ID_Budenberg1993267_1993_";"*ID_Cabrera1998175_1997_";"*ID_CabreraCabrera2005357_1982_";"*ID_CabreraCabrera2005357_1997_";"*ID_Carr2009333_1982_";"*ID_Carr2009333_1985_";"*ID_Carr2009333_1992_";"*ID_Carr2009333_1993_";"*ID_Carr2009333_1997_";"*ID_CastilloGonzález201165_1982_";"*ID_CastilloGonzález201165_1997_";"*ID_Cavatte2012356_1999_";"*ID_Cavatte2012356_2006_";"*ID_Chang201827_1985_";"*ID_Chang201827_1993_";"*ID_Chang201827_1997_";"*ID_Chang201827_1999_";"*ID_Chomchalow201417_1992_";"*ID_Chomchalow201417_1993_";"*ID_Coelho20131260_1982_";"*ID_Coelho20131260_1999_";"*ID_Coelho20131260_2006_";"*ID_DaSilvaJr.2012620_1999_";"*ID_DaSilvaJr.2012620_2006_";"*ID_Dahal1999181_1985_";"*ID_Dahal1999181_1997_";"*ID_DamattoJr.2011713_1999_";"*ID_DeAraujo2015249_1999_";"*ID_DeGraaf200836_1993_";"*ID_DeGraaf200836_1997_";"*ID_DeGraaf200836_1999_";"*ID_DeOliveiraESilva20021567_1999_";"*ID_Diniz19991201_1982_";"*ID_Diniz19991385_1982_";"*ID_Diniz19991385_1999_";"*ID_Donato2006139_1997_";"*ID_Donato2006139_1999_";"*ID_Donato2006139_2006_";"*ID_Donato20091608_1997_";"*ID_Donato20091608_2006_";"*ID_Donato2013131_1997_";"*ID_Donato2013131_1999_";"*ID_Donato2013131_2006_";"*ID_Dorel201670_1982_";"*ID_Dorel201670_1985_";"*ID_Dorel201670_1997_";"*ID_Dzomeku2008216_1985_";"*ID_Dzomeku2008216_1992_";"*ID_Dzomeku2008216_1997_";"*ID_Dzomeku2009309_1985_";"*ID_Dzomeku2009309_1992_";"*ID_Dzomeku2009309_1993_";"*ID_Dzomeku2009309_1997_";"*ID_Eckstein1997389_1982_";"*ID_Eckstein1997389_1992_";"*ID_Eckstein1997389_1993_";"*ID_Eckstein1997389_1997_";"*ID_El-Morshedy20206765_1985_";"*ID_Fancelli2013_1999_";"*ID_Fekadua1997249_1993_";"*ID_Flori200735_1985_";"*ID_Flori200735_1993_";"*ID_Flori200735_1999_";"*ID_Fortescue2005463_1982_";"*ID_Fortescue2005463_1992_";"*ID_Fortescue2005463_1993_";"*ID_Fortescue2005463_1997_";"*ID_Fortunato2012674_1985_";"*ID_GalvisR.2013103_1985_";"*ID_GalvisR.2013103_1997_";"*ID_Gold200179_1982_";"*ID_Gold200179_1985_";"*ID_Gold200179_1992_";"*ID_Gold200179_1993_";"*ID_Gold200179_1997_";"*ID_Gold200179_1999_";"*ID_Gold200235_1999_";"*ID_González-Vélez2013155_1997_";"*ID_Grillo1999343_1997_";"*ID_Gubbuk202027_1997_";"*ID_Guimarães20143128_1999_";"*ID_Hauser2000213_1985_";"*ID_Hauser2000213_1997_";"*ID_Hauser2000213_1999_";"*ID_Hernández2009449_1993_";"*ID_Hill1992237_1982_";"*ID_Hill1992237_1992_";"*ID_Hoffmann2010536_1982_";"*ID_Hoffmann2010536_1999_";"*ID_Holder1982183_1982_";"*ID_Hooks20081_1982_";"*ID_Hooks20081_1997_";"*ID_Iles2009283_1985_";"*ID_Irizarry2001105_1985_";"*ID_Irizarry2001105_1992_";"*ID_Irizarry2001105_1993_";"*ID_Irulandi201268_1999_";"*ID_James201165_1992_";"*ID_James201165_1997_";"*ID_Jeyabaskaran2018405_1982_";"*ID_Jeyakumar2010517_1982_";"*ID_Junior20121145_1999_";"*ID_Kalaivanan201468_1993_";"*ID_Kalorizou2007343_1982_";"*ID_Kalorizou2007343_1985_";"*ID_Kalorizou2007343_1992_";"*ID_Kalorizou2007343_1997_";"*ID_Kambli2021471_2015_";"*ID_Karamura20111_1982_";"*ID_Karamura20111_1985_";"*ID_Karamura20111_1992_";"*ID_Karamura20111_1993_";"*ID_Karamura20111_1999_";"*ID_Karlsson2015232_1993_";"*ID_Khound20141619_1993_";"*ID_Koffi2015265_1985_";"*ID_Koppenhöfer1993187_1992_";"*ID_Koppenhöfer1993187_1993_";"*ID_Koppenhöfer1993352_1992_";"*ID_Koppenhöfer1993352_1993_";"*ID_Krishnamoorthy2004159_1985_";"*ID_Krishnamoorthy2004159_1997_";"*ID_Kumar2005422_1993_";"*ID_Kumar201026_1982_";"*ID_Kumar20141119_1997_";"*ID_Kurien200025_1993_";"*ID_Kurien2002143_1982_";"*ID_Lessa2010213_1999_";"*ID_Lessa2010213_2006_";"*ID_Lessa2010525_1999_";"*ID_Lessa2010525_2006_";"*ID_Lessa20121098_1999_";"*ID_Lessa20121098_2006_";"*ID_Lessa20121129_1982_";"*ID_Lessa20121129_1992_";"*ID_Lessa20121129_1999_";"*ID_Lessa20121129_2006_";"*ID_Li2013_1992_";"*ID_Lichtemberg1998181_1997_";"*ID_Lima2021_1982_";"*ID_Lima2021_1985_";"*ID_Lima2021_2006_";"*ID_Liu1997151_1992_";"*ID_Liu1997151_1993_";"*ID_Longyan20162571_1985_";"*ID_Longyan20162571_1993_";"*ID_Longyan20162571_1999_";"*ID_Lopes201475_1999_";"*ID_Lopes2014925_1999_";"*ID_López20122227_1999_";"*ID_Maia2009257_1982_";"*ID_Maia2009257_1999_";"*ID_Manuel2013304_1992_";"*ID_Marques2011852_1997_";"*ID_Marques2011852_1999_";"*ID_Marques2011852_2006_";"*ID_Martin2006188_1992_";"*ID_MartínezAcosta2022354_1985_";"*ID_Mathew2000584_1997_";"*ID_Mathew2017124_1985_";"*ID_Mathew2017124_1992_";"*ID_Mathew2017124_1993_";"*ID_Mathew2017124_1997_";"*ID_Mendonça2013652_1999_";"*ID_Mendonça2013652_2006_";"*ID_Mengesha2022_1993_";"*ID_Menon2011207_1985_";"*ID_Menon2011207_1997_";"*ID_Mohapatra20091_1985_";"*ID_Mohapatra20091_1992_";"*ID_Mohapatra20091_1993_";"*ID_Moreira2009574_1982_";"*ID_Moreira2009574_1993_";"*ID_Msogoya2006471_1985_";"*ID_Mushoddad2018655_1997_";"*ID_Nakato2014418_1999_";"*ID_Nasir2003251_1993_";"*ID_Ndiege199643_1993_";"*ID_Night2011430_1997_";"*ID_Night2011430_1999_";"*ID_Nogueira2018_1999_";"*ID_Nomura2011608_1999_";"*ID_Nomura2011608_2006_";"*ID_Nomura2013437_1999_";"*ID_Nomura2013437_2006_";"*ID_Nomura2015644_1999_";"*ID_Nomura2015644_2006_";"*ID_Nóbrega20101205_1999_";"*ID_Ocimati2013777_1999_";"*ID_Okolle2020_1997_";"*ID_Oliveira20131038_1999_";"*ID_Oliveira20131038_2006_";"*ID_Orr2019_1982_";"*ID_Ortiz1997393_1985_";"*ID_Ortiz1997393_1993_";"*ID_Ortiz1997393_1997_";"*ID_Ortiz1998239_1985_";"*ID_Ortiz1998239_1993_";"*ID_Ortiz1998239_1997_";"*ID_Ortiz2000157_1985_";"*ID_Ortiz2000157_1993_";"*ID_Ortiz2000157_1997_";"*ID_OyeAnda201537_1992_";"*ID_OyeAnda201537_1997_";"*ID_Palanichamy20191753_1999_";"*ID_Pandit2018213_2015_";"*ID_Pittaway1999623_1992_";"*ID_Pittaway1999623_1993_";"*ID_Premabati202071_1999_";"*ID_Pua200192_1985_";"*ID_Pua200192_1992_";"*ID_Rafael-Rutte2022176_1992_";"*ID_RajKumar2018S621_2015_";"*ID_Ramos20091092_1999_";"*ID_Ramos20091092_2006_";"*ID_Ramos2009749_1999_";"*ID_Ramos200982_2006_";"*ID_Rannestad2011405_1999_";"*ID_Rekha2011277_1993_";"*ID_Rekha2011277_1997_";"*ID_Rengifo200719_1992_";"*ID_Rengifo200719_1993_";"*ID_Rengifo200719_1997_";"*ID_Ribeiro199885_1982_";"*ID_Ribeiro199885_1997_";"*ID_Ribeiro2009103_1999_";"*ID_Rodrigues2012182_1985_";"*ID_Rodrigues2012182_1992_";"*ID_Rodrigues2012182_1993_";"*ID_Rodrigues2012182_1997_";"*ID_Rodrigues2012182_1999_";"*ID_Rodrigues2012182_2006_";"*ID_Roque2014598_1999_";"*ID_Sahayaraj2010304_1999_";"*ID_Saleh20203355_2015_";"*ID_Salomão2016340_1999_";"*ID_Salomão2016340_2006_";"*ID_Samanta2015145_2015_";"*ID_Samanta2015167_2015_";"*ID_Sant'ana2012124_2006_";"*ID_Santos200799_1985_";"*ID_Sarrwy2012266_1993_";"*ID_Sarrwy2012266_1997_";"*ID_Sarrwy2012266_1999_";"*ID_Sathappan20191603_1982_";"*ID_Seenivasan201741_1993_";"*ID_Segura2018163_1992_";"*ID_Señeris2022175_1985_";"*ID_Señeris2022175_1997_";"*ID_Shiyam2009103_1985_";"*ID_Shiyam2009103_1997_";"*ID_Sibina2023_1993_";"*ID_Silva20091084_1997_";"*ID_Silva20091084_1999_";"*ID_Sirisena1997159_1985_";"*ID_Sirisena1997159_1993_";"*ID_Sirisena1997159_1997_";"*ID_Soares201324_1999_";"*ID_Soares201324_2006_";"*ID_Srivastava2018188_1999_";"*ID_Suvittawat2014241_1997_";"*ID_Swennen1985197_1985_";"*ID_Swennen1995320_1985_";"*ID_Swennen1995320_1993_";"*ID_Tang1998189_1992_";"*ID_Tang1998189_1993_";"*ID_Tobias201383_1999_";"*ID_Tsegaye200745_1997_";"*ID_Umeh2010361_1999_";"*ID_Yemata2020_1985_";"*ID_Yin2011371_1992_";"*ID_daSilva2013122_1999_";"*ID_daSilva2013122_2006_";"*ID_daSilva2013613_1982_";"*ID_daSilva2013613_1997_";"*ID_daSilva2013613_2006_";"*ID_daSilva201646_1999_";"*ID_daSilva201646_2006_";"*ID_daSilva2016836_1999_";"*ID_daSilva2016836_2006_";"*ID_deFaria2010830_1999_";"*ID_deFaria2010830_2006_";"*ID_deLins2013493_1999_";"*ID_deMelo2017392_2006_";"*ID_deSouza2011461_1999_";"*ID_deSouza2011587_1999_";"*ID_deSouza2021_2006_";"*ID_doAmaral2015435_1992_";"*ID_doAmaral2015435_1993_";"*ID_doAmaral2015435_1999_";"*ID_doAmaral2015435_2006_";"*ID_eSilva2011137_1999_";"*ID_eSilva2011137_2006_"
"phytochemicals";0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"every";0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;2;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"affect";0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;1;1;1;1;6;3;3;0;0;2;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;2;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;1;1;2;0;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1;1;0;0;0;2;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"multiple";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"crbp";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ssp";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"brs";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0
"peduncle";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;4;4;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"marketable";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"horn";0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
